Year,STATE/UT,DISTRICT,Assault_on_women_with_intent_to_outrage_her_modesty
2007,jharkhand,dhanbad,32
2008,jharkhand,dhanbad,35
2009,jharkhand,dhanbad,24
2010,jharkhand,dhanbad,30
2011,jharkhand,dhanbad,34
2012,jharkhand,dhanbad,4
2013,jharkhand,dhanbad,6
2001,jharkhand,dhanbad_rly.,0
2002,jharkhand,dhanbad_rly.,2
2003,jharkhand,dhanbad_rly.,1
2004,jharkhand,dhanbad_rly.,2
2005,jharkhand,dhanbad_rly.,0
2006,jharkhand,dhanbad_rly.,3
2007,jharkhand,dhanbad_rly.,1
2008,jharkhand,dhanbad_rly.,4
2009,jharkhand,dhanbad_rly.,3
2010,jharkhand,dhanbad_rly.,11
2011,jharkhand,dhanbad_rly.,8
2012,jharkhand,dhanbad_rly.,8
2013,jharkhand,dhanbad_rly.,11
2001,madhyapradesh,dhar,168
2002,madhyapradesh,dhar,220
2003,madhyapradesh,dhar,200
2004,madhyapradesh,dhar,154
2005,madhyapradesh,dhar,180
2006,madhyapradesh,dhar,183
2007,madhyapradesh,dhar,157
2008,madhyapradesh,dhar,185
2009,madhyapradesh,dhar,167
2010,madhyapradesh,dhar,176
2011,madhyapradesh,dhar,189
2012,madhyapradesh,dhar,173
2013,madhyapradesh,dhar,211
2001,tamilnadu,dharmapuri,65
2002,tamilnadu,dharmapuri,62
2003,tamilnadu,dharmapuri,91
2004,tamilnadu,dharmapuri,57
2005,tamilnadu,dharmapuri,42
2006,tamilnadu,dharmapuri,33
2007,tamilnadu,dharmapuri,77
2008,tamilnadu,dharmapuri,136
2009,tamilnadu,dharmapuri,56
2010,tamilnadu,dharmapuri,42
2011,tamilnadu,dharmapuri,44
2012,tamilnadu,dharmapuri,48
2013,tamilnadu,dharmapuri,48
2001,karnataka,dharwad_commr.,3
2002,karnataka,dharwad_commr.,14
2003,karnataka,dharwad_commr.,3
2004,karnataka,dharwad_commr.,8
2005,karnataka,dharwad_commr.,2
2006,karnataka,dharwad_commr.,13
2007,karnataka,dharwad_commr.,10
2008,karnataka,dharwad_commr.,16
2009,karnataka,dharwad_commr.,12
2010,karnataka,dharwad_commr.,16
2011,karnataka,dharwad_commr.,22
2012,karnataka,dharwad_commr.,16
2013,karnataka,dharwad_commr.,37
2001,karnataka,dharwad_rural,8
2002,karnataka,dharwad_rural,26
2003,karnataka,dharwad_rural,11
2004,karnataka,dharwad_rural,13
2005,karnataka,dharwad_rural,21
2006,karnataka,dharwad_rural,15
2007,karnataka,dharwad_rural,8
2008,karnataka,dharwad_rural,16
2009,karnataka,dharwad_rural,29
2010,karnataka,dharwad_rural,44
2011,karnataka,dharwad_rural,21
2012,karnataka,dharwad_rural,38
2013,karnataka,dharwad_rural,34
2001,assam,dhemaji,26
2002,assam,dhemaji,23
2003,assam,dhemaji,14
2004,assam,dhemaji,33
2005,assam,dhemaji,31
2006,assam,dhemaji,28
2007,assam,dhemaji,40
2008,assam,dhemaji,40
2009,assam,dhemaji,42
2010,assam,dhemaji,40
2011,assam,dhemaji,40
2012,assam,dhemaji,17
2013,assam,dhemaji,77
2001,odisha,dhenkanal,82
2002,odisha,dhenkanal,69
2003,odisha,dhenkanal,67
2004,odisha,dhenkanal,97
2005,odisha,dhenkanal,139
2006,odisha,dhenkanal,130
2007,odisha,dhenkanal,197
2008,odisha,dhenkanal,187
2009,odisha,dhenkanal,159
2010,odisha,dhenkanal,252
2011,odisha,dhenkanal,185
2012,odisha,dhenkanal,267
2013,odisha,dhenkanal,376
2001,rajasthan,dholpur,34
2002,rajasthan,dholpur,43
2003,rajasthan,dholpur,36
2004,rajasthan,dholpur,50
2005,rajasthan,dholpur,30
2006,rajasthan,dholpur,33
2007,rajasthan,dholpur,22
2008,rajasthan,dholpur,9
2009,rajasthan,dholpur,19
2010,rajasthan,dholpur,18
2011,rajasthan,dholpur,12
2012,rajasthan,dholpur,19
2013,rajasthan,dholpur,28
2001,assam,dhubri,49
2002,assam,dhubri,67
2003,assam,dhubri,87
2004,assam,dhubri,110
2005,assam,dhubri,56
2006,assam,dhubri,132
2007,assam,dhubri,128
2008,assam,dhubri,88
2009,assam,dhubri,154
2010,assam,dhubri,250
2011,assam,dhubri,210
2012,assam,dhubri,218
2013,assam,dhubri,452
2001,maharashtra,dhule,17
2002,maharashtra,dhule,20
2003,maharashtra,dhule,18
2004,maharashtra,dhule,24
2005,maharashtra,dhule,27
2006,maharashtra,dhule,33
2007,maharashtra,dhule,37
2008,maharashtra,dhule,32
2009,maharashtra,dhule,34
2010,maharashtra,dhule,28
2011,maharashtra,dhule,52
2012,maharashtra,dhule,39
2013,maharashtra,dhule,58
2001,arunachalpradesh,dibang_valley,4
2002,arunachalpradesh,dibang_valley,4
2003,arunachalpradesh,dibang_valley,1
2004,arunachalpradesh,dibang_valley,0
2005,arunachalpradesh,dibang_valley,5
2006,arunachalpradesh,dibang_valley,1
2007,arunachalpradesh,dibang_valley,5
2008,arunachalpradesh,dibang_valley,9
2009,arunachalpradesh,dibang_valley,2
2010,arunachalpradesh,dibang_valley,2
2011,arunachalpradesh,dibang_valley,1
2012,arunachalpradesh,dibang_valley,2
2013,arunachalpradesh,dibang_valley,2
2001,assam,dibrugarh,41
2002,assam,dibrugarh,27
2003,assam,dibrugarh,28
2004,assam,dibrugarh,50
2005,assam,dibrugarh,41
2006,assam,dibrugarh,48
2007,assam,dibrugarh,29
2008,assam,dibrugarh,60
2009,assam,dibrugarh,44
2010,assam,dibrugarh,51
2011,assam,dibrugarh,7
2012,assam,dibrugarh,138
2013,assam,dibrugarh,151
2001,nagaland,dimapur,0
2002,nagaland,dimapur,1
2003,nagaland,dimapur,0
2004,nagaland,dimapur,0
2005,nagaland,dimapur,0
2006,nagaland,dimapur,2
2007,nagaland,dimapur,5
2008,nagaland,dimapur,11
2009,nagaland,dimapur,7
2010,nagaland,dimapur,8
2011,nagaland,dimapur,7
2012,nagaland,dimapur,9
2013,nagaland,dimapur,18
2001,tamilnadu,dindigul,48
2002,tamilnadu,dindigul,33
2003,tamilnadu,dindigul,51
2004,tamilnadu,dindigul,30
2005,tamilnadu,dindigul,33
2006,tamilnadu,dindigul,29
2007,tamilnadu,dindigul,28
2008,tamilnadu,dindigul,47
2009,tamilnadu,dindigul,34
2010,tamilnadu,dindigul,43
2011,tamilnadu,dindigul,45
2012,tamilnadu,dindigul,34
2013,tamilnadu,dindigul,46
2001,madhyapradesh,dindori,53
2002,madhyapradesh,dindori,57
2003,madhyapradesh,dindori,64
2004,madhyapradesh,dindori,61
2005,madhyapradesh,dindori,57
2006,madhyapradesh,dindori,51
2007,madhyapradesh,dindori,27
2008,madhyapradesh,dindori,33
2009,madhyapradesh,dindori,48
2010,madhyapradesh,dindori,89
2011,madhyapradesh,dindori,67
2012,madhyapradesh,dindori,80
2013,madhyapradesh,dindori,120
2001,daman&diu,diu,0
2002,daman&diu,diu,0
2003,daman&diu,diu,0
2004,daman&diu,diu,0
2005,daman&diu,diu,0
2006,daman&diu,diu,0
2007,daman&diu,diu,0
2008,daman&diu,diu,0
2009,daman&diu,diu,0
2010,daman&diu,diu,0
2011,daman&diu,diu,0
2012,daman&diu,diu,0
2013,daman&diu,diu,0
2001,jammu&kashmir,doda,6
2002,jammu&kashmir,doda,6
2003,jammu&kashmir,doda,8
2004,jammu&kashmir,doda,13
2005,jammu&kashmir,doda,6
2006,jammu&kashmir,doda,16
2007,jammu&kashmir,doda,26
2008,jammu&kashmir,doda,14
2009,jammu&kashmir,doda,21
2010,jammu&kashmir,doda,27
2011,jammu&kashmir,doda,25
2012,jammu&kashmir,doda,23
2013,jammu&kashmir,doda,41
2001,jharkhand,dumka,20
2002,jharkhand,dumka,31
2003,jharkhand,dumka,23
2004,jharkhand,dumka,31
2005,jharkhand,dumka,11
2006,jharkhand,dumka,46
2007,jharkhand,dumka,35
2008,jharkhand,dumka,7
2009,jharkhand,dumka,2
2010,jharkhand,dumka,8
2011,jharkhand,dumka,19
2012,jharkhand,dumka,12
2013,jharkhand,dumka,15
2001,rajasthan,dungarpur,56
2002,rajasthan,dungarpur,58
2003,rajasthan,dungarpur,50
2004,rajasthan,dungarpur,44
2005,rajasthan,dungarpur,39
2006,rajasthan,dungarpur,64
2007,rajasthan,dungarpur,58
2008,rajasthan,dungarpur,66
2009,rajasthan,dungarpur,47
2010,rajasthan,dungarpur,56
2011,rajasthan,dungarpur,57
2012,rajasthan,dungarpur,48
2013,rajasthan,dungarpur,99
2001,chhattisgarh,durg,287
2002,chhattisgarh,durg,230
2003,chhattisgarh,durg,229
2004,chhattisgarh,durg,253
2005,chhattisgarh,durg,216
2006,chhattisgarh,durg,241
2007,chhattisgarh,durg,200
2008,chhattisgarh,durg,218
2009,chhattisgarh,durg,223
2010,chhattisgarh,durg,269
2011,chhattisgarh,durg,291
2012,chhattisgarh,durg,178
2013,chhattisgarh,durg,236
2001,sikkim,east,0
2001,delhi,east,56
2002,sikkim,east,9
2002,delhi,east,55
2003,sikkim,east,11
2003,delhi,east,73
2004,sikkim,east,15
2004,delhi,east,82
2005,sikkim,east,8
2005,delhi,east,105
2006,sikkim,east,6
2006,delhi,east,86
2007,sikkim,east,3
2007,delhi,east,112
2008,sikkim,east,5
2008,delhi,east,93
2009,sikkim,east,4
2009,delhi,east,81
2010,sikkim,east,1
2010,delhi,east,83
2011,sikkim,east,6
2011,delhi,east,78
2012,sikkim,east,7
2012,delhi,east,96
2013,sikkim,east,16
2013,delhi,east,364
2001,andhrapradesh,east_godavari,109
2002,andhrapradesh,east_godavari,108
2003,andhrapradesh,east_godavari,150
2004,andhrapradesh,east_godavari,112
2005,andhrapradesh,east_godavari,102
2006,andhrapradesh,east_godavari,173
2007,andhrapradesh,east_godavari,159
2008,andhrapradesh,east_godavari,194
2009,andhrapradesh,east_godavari,196
2010,andhrapradesh,east_godavari,193
2011,andhrapradesh,east_godavari,176
2012,andhrapradesh,east_godavari,248
2013,andhrapradesh,east_godavari,352
2001,tamilnadu,erode,72
2002,tamilnadu,erode,68
2003,tamilnadu,erode,60
2004,tamilnadu,erode,35
2005,tamilnadu,erode,72
2006,tamilnadu,erode,35
2007,tamilnadu,erode,64
2008,tamilnadu,erode,78
2009,tamilnadu,erode,31
2010,tamilnadu,erode,43
2011,tamilnadu,erode,35
2012,tamilnadu,erode,42
2013,tamilnadu,erode,25
2001,uttarpradesh,etah,68
2002,uttarpradesh,etah,43
2003,uttarpradesh,etah,19
2004,uttarpradesh,etah,44
2005,uttarpradesh,etah,34
2006,uttarpradesh,etah,26
2007,uttarpradesh,etah,48
2008,uttarpradesh,etah,41
2009,uttarpradesh,etah,37
2010,uttarpradesh,etah,45
2011,uttarpradesh,etah,25
2012,uttarpradesh,etah,62
2013,uttarpradesh,etah,122
2001,uttarpradesh,etawah,25
2002,uttarpradesh,etawah,32
2003,uttarpradesh,etawah,12
2004,uttarpradesh,etawah,15
2005,uttarpradesh,etawah,20
2006,uttarpradesh,etawah,18
2007,uttarpradesh,etawah,31
2008,uttarpradesh,etawah,43
2009,uttarpradesh,etawah,42
2010,uttarpradesh,etawah,19
2011,uttarpradesh,etawah,28
2012,uttarpradesh,etawah,26
2013,uttarpradesh,etawah,30
2001,uttarpradesh,faizabad,24
2002,uttarpradesh,faizabad,18
2003,uttarpradesh,faizabad,6
2004,uttarpradesh,faizabad,18
2005,uttarpradesh,faizabad,13
2006,uttarpradesh,faizabad,18
2007,uttarpradesh,faizabad,23
2008,uttarpradesh,faizabad,26
2009,uttarpradesh,faizabad,27
2010,uttarpradesh,faizabad,27
2011,uttarpradesh,faizabad,56
2012,uttarpradesh,faizabad,32
2013,uttarpradesh,faizabad,79
2001,haryana,faridabad,47
2002,haryana,faridabad,56
2003,haryana,faridabad,34
2004,haryana,faridabad,45
2005,haryana,faridabad,42
2006,haryana,faridabad,35
2007,haryana,faridabad,23
2008,haryana,faridabad,23
2009,haryana,faridabad,26
2010,haryana,faridabad,27
2011,haryana,faridabad,31
2012,haryana,faridabad,31
2013,haryana,faridabad,90
2001,punjab,faridkot,11
2002,punjab,faridkot,6
2003,punjab,faridkot,8
2004,punjab,faridkot,9
2005,punjab,faridkot,10
2006,punjab,faridkot,25
2007,punjab,faridkot,19
2008,punjab,faridkot,9
2009,punjab,faridkot,9
2010,punjab,faridkot,2
2011,punjab,faridkot,10
2012,punjab,faridkot,11
2013,punjab,faridkot,29
2001,haryana,fatehabad,17
2002,haryana,fatehabad,22
2003,haryana,fatehabad,11
2004,haryana,fatehabad,17
2005,haryana,fatehabad,17
2006,haryana,fatehabad,17
2007,haryana,fatehabad,16
2008,haryana,fatehabad,16
2009,haryana,fatehabad,10
2010,haryana,fatehabad,13
2011,haryana,fatehabad,6
2012,haryana,fatehabad,7
2013,haryana,fatehabad,46
2001,uttarpradesh,fatehgarh,23
2002,uttarpradesh,fatehgarh,0
2003,uttarpradesh,fatehgarh,9
2004,uttarpradesh,fatehgarh,13
2005,uttarpradesh,fatehgarh,7
2006,uttarpradesh,fatehgarh,10
2007,uttarpradesh,fatehgarh,32
2008,uttarpradesh,fatehgarh,35
2009,uttarpradesh,fatehgarh,30
2010,uttarpradesh,fatehgarh,26
2011,uttarpradesh,fatehgarh,35
2012,uttarpradesh,fatehgarh,39
2013,uttarpradesh,fatehgarh,30
2001,punjab,fatehgarh_sahib,4
2002,punjab,fatehgarh_sahib,5
2003,punjab,fatehgarh_sahib,2
2004,punjab,fatehgarh_sahib,10
2005,punjab,fatehgarh_sahib,1
2006,punjab,fatehgarh_sahib,5
2007,punjab,fatehgarh_sahib,17
2008,punjab,fatehgarh_sahib,5
2009,punjab,fatehgarh_sahib,8
2010,punjab,fatehgarh_sahib,6
2011,punjab,fatehgarh_sahib,4
2012,punjab,fatehgarh_sahib,3
2013,punjab,fatehgarh_sahib,13
2001,uttarpradesh,fatehpur,25
2002,uttarpradesh,fatehpur,18
2003,uttarpradesh,fatehpur,4
2004,uttarpradesh,fatehpur,19
2005,uttarpradesh,fatehpur,11
2006,uttarpradesh,fatehpur,14
2007,uttarpradesh,fatehpur,29
2008,uttarpradesh,fatehpur,32
2009,uttarpradesh,fatehpur,39
2010,uttarpradesh,fatehpur,53
2011,uttarpradesh,fatehpur,55
2012,uttarpradesh,fatehpur,65
2013,uttarpradesh,fatehpur,87
2001,uttarpradesh,firozabad,33
2002,uttarpradesh,firozabad,37
2003,uttarpradesh,firozabad,33
2004,uttarpradesh,firozabad,33
2005,uttarpradesh,firozabad,16
2006,uttarpradesh,firozabad,29
2007,uttarpradesh,firozabad,58
2008,uttarpradesh,firozabad,43
2009,uttarpradesh,firozabad,59
2010,uttarpradesh,firozabad,33
2011,uttarpradesh,firozabad,57
2012,uttarpradesh,firozabad,49
2013,uttarpradesh,firozabad,112
2001,punjab,g.r.p,1
2002,punjab,g.r.p,2
2003,punjab,g.r.p,3
2004,punjab,g.r.p,6
2005,punjab,g.r.p,4
2006,punjab,g.r.p,2
2007,punjab,g.r.p,2
2008,punjab,g.r.p,2
2009,punjab,g.r.p,0
2010,punjab,g.r.p,0
2011,punjab,g.r.p,0
2012,punjab,g.r.p,0
2013,punjab,g.r.p,5
2001,assam,g.r.p.,0
2001,himachalpradesh,g.r.p.,0
2001,rajasthan,g.r.p.,14
2001,uttarpradesh,g.r.p.,18
2002,assam,g.r.p.,0
2002,himachalpradesh,g.r.p.,0
2002,rajasthan,g.r.p.,20
2002,uttarpradesh,g.r.p.,11
2003,assam,g.r.p.,1
2003,himachalpradesh,g.r.p.,0
2003,rajasthan,g.r.p.,12
2003,uttarpradesh,g.r.p.,6
2004,assam,g.r.p.,2
2004,himachalpradesh,g.r.p.,0
2004,rajasthan,g.r.p.,13
2004,uttarpradesh,g.r.p.,15
2005,assam,g.r.p.,4
2005,himachalpradesh,g.r.p.,0
2005,rajasthan,g.r.p.,15
2005,uttarpradesh,g.r.p.,15
2006,assam,g.r.p.,0
2006,himachalpradesh,g.r.p.,0
2006,rajasthan,g.r.p.,19
2006,uttarpradesh,g.r.p.,18
2007,assam,g.r.p.,0
2007,himachalpradesh,g.r.p.,0
2007,rajasthan,g.r.p.,12
2007,uttarpradesh,g.r.p.,12
2008,assam,g.r.p.,2
2008,himachalpradesh,g.r.p.,0
2008,rajasthan,g.r.p.,17
2008,uttarpradesh,g.r.p.,18
2009,assam,g.r.p.,0
2009,himachalpradesh,g.r.p.,0
2009,rajasthan,g.r.p.,9
2009,uttarpradesh,g.r.p.,10
2010,assam,g.r.p.,0
2010,himachalpradesh,g.r.p.,0
2010,tripura,g.r.p.,1
2010,uttarpradesh,g.r.p.,20
2011,assam,g.r.p.,0
2011,himachalpradesh,g.r.p.,0
2011,uttarpradesh,g.r.p.,38
2012,assam,g.r.p.,3
2012,himachalpradesh,g.r.p.,0
2012,uttarpradesh,g.r.p.,36
2013,assam,g.r.p.,0
2013,himachalpradesh,g.r.p.,1
2013,uttarpradesh,g.r.p.,84
2001,karnataka,gadag,10
2002,karnataka,gadag,12
2003,karnataka,gadag,12
2004,karnataka,gadag,21
2005,karnataka,gadag,16
2006,karnataka,gadag,20
2007,karnataka,gadag,31
2008,karnataka,gadag,49
2009,karnataka,gadag,44
2010,karnataka,gadag,35
2011,karnataka,gadag,48
2012,karnataka,gadag,59
2013,karnataka,gadag,40
2001,maharashtra,gadchiroli,55
2002,maharashtra,gadchiroli,59
2003,maharashtra,gadchiroli,57
2004,maharashtra,gadchiroli,44
2005,maharashtra,gadchiroli,62
2006,maharashtra,gadchiroli,52
2007,maharashtra,gadchiroli,31
2008,maharashtra,gadchiroli,30
2009,maharashtra,gadchiroli,23
2010,maharashtra,gadchiroli,28
2011,maharashtra,gadchiroli,24
2012,maharashtra,gadchiroli,30
2013,maharashtra,gadchiroli,53
2001,odisha,gajapati,13
2002,odisha,gajapati,18
2003,odisha,gajapati,21
2004,odisha,gajapati,23
2005,odisha,gajapati,35
2006,odisha,gajapati,30
2007,odisha,gajapati,30
2008,odisha,gajapati,52
2009,odisha,gajapati,49
2010,odisha,gajapati,37
2011,odisha,gajapati,56
2012,odisha,gajapati,61
2013,odisha,gajapati,80
2001,jammu&kashmir,ganderbal,30
2002,jammu&kashmir,ganderbal,61
2003,jammu&kashmir,ganderbal,82
2004,jammu&kashmir,ganderbal,80
2005,jammu&kashmir,ganderbal,42
2006,jammu&kashmir,ganderbal,36
2007,jammu&kashmir,ganderbal,73
2008,jammu&kashmir,ganderbal,36
2009,jammu&kashmir,ganderbal,45
2010,jammu&kashmir,ganderbal,44
2011,jammu&kashmir,ganderbal,57
2012,jammu&kashmir,ganderbal,97
2013,jammu&kashmir,ganderbal,64
2001,gujarat,gandhinagar,37
2002,gujarat,gandhinagar,15
2003,gujarat,gandhinagar,25
2004,gujarat,gandhinagar,16
2005,gujarat,gandhinagar,8
2006,gujarat,gandhinagar,17
2007,gujarat,gandhinagar,17
2008,gujarat,gandhinagar,18
2009,gujarat,gandhinagar,10
2010,gujarat,gandhinagar,11
2011,gujarat,gandhinagar,16
2012,gujarat,gandhinagar,10
2013,gujarat,gandhinagar,31
2001,rajasthan,ganganagar,118
2002,rajasthan,ganganagar,100
2003,rajasthan,ganganagar,69
2004,rajasthan,ganganagar,46
2005,rajasthan,ganganagar,58
2006,rajasthan,ganganagar,64
2007,rajasthan,ganganagar,64
2008,rajasthan,ganganagar,59
2009,rajasthan,ganganagar,61
2010,rajasthan,ganganagar,74
2011,rajasthan,ganganagar,73
2012,rajasthan,ganganagar,58
2013,rajasthan,ganganagar,127
2001,odisha,ganjam,102
2002,odisha,ganjam,124
2003,odisha,ganjam,185
2004,odisha,ganjam,155
2005,odisha,ganjam,179
2006,odisha,ganjam,176
2007,odisha,ganjam,232
2008,odisha,ganjam,259
2009,odisha,ganjam,249
2010,odisha,ganjam,296
2011,odisha,ganjam,358
2012,odisha,ganjam,356
2013,odisha,ganjam,407
2001,jharkhand,garhwa,0
2002,jharkhand,garhwa,2
2003,jharkhand,garhwa,5
2004,jharkhand,garhwa,2
2005,jharkhand,garhwa,0
2006,jharkhand,garhwa,0
2007,jharkhand,garhwa,0
2008,jharkhand,garhwa,15
2009,jharkhand,garhwa,11
2010,jharkhand,garhwa,11
2011,jharkhand,garhwa,22
2012,jharkhand,garhwa,14
2013,jharkhand,garhwa,33
2001,meghalaya,garo_hills_east,2
2002,meghalaya,garo_hills_east,2
2003,meghalaya,garo_hills_east,0
2004,meghalaya,garo_hills_east,1
2005,meghalaya,garo_hills_east,0
2006,meghalaya,garo_hills_east,7
2007,meghalaya,garo_hills_east,3
2008,meghalaya,garo_hills_east,1
2009,meghalaya,garo_hills_east,6
2010,meghalaya,garo_hills_east,3
2011,meghalaya,garo_hills_east,0
2012,meghalaya,garo_hills_east,3
2013,meghalaya,garo_hills_east,6
2001,meghalaya,garo_hills_south,0
2002,meghalaya,garo_hills_south,0
2003,meghalaya,garo_hills_south,1
2004,meghalaya,garo_hills_south,0
2005,meghalaya,garo_hills_south,2
2006,meghalaya,garo_hills_south,1
2007,meghalaya,garo_hills_south,0
2008,meghalaya,garo_hills_south,0
2009,meghalaya,garo_hills_south,2
2010,meghalaya,garo_hills_south,0
2011,meghalaya,garo_hills_south,2
2012,meghalaya,garo_hills_south,2
2013,meghalaya,garo_hills_south,2
2001,meghalaya,garo_hills_west,8
2002,meghalaya,garo_hills_west,8
2003,meghalaya,garo_hills_west,5
2004,meghalaya,garo_hills_west,10
2005,meghalaya,garo_hills_west,9
2006,meghalaya,garo_hills_west,14
2007,meghalaya,garo_hills_west,12
2008,meghalaya,garo_hills_west,21
2009,meghalaya,garo_hills_west,22
2010,meghalaya,garo_hills_west,18
2011,meghalaya,garo_hills_west,22
2012,meghalaya,garo_hills_west,2
2013,meghalaya,garo_hills_west,16
2001,uttarpradesh,gautambudh_nagar,39
2002,uttarpradesh,gautambudh_nagar,20
2003,uttarpradesh,gautambudh_nagar,13
2004,uttarpradesh,gautambudh_nagar,24
2005,uttarpradesh,gautambudh_nagar,28
2006,uttarpradesh,gautambudh_nagar,35
2007,uttarpradesh,gautambudh_nagar,41
2008,uttarpradesh,gautambudh_nagar,19
2009,uttarpradesh,gautambudh_nagar,40
2010,uttarpradesh,gautambudh_nagar,41
2011,uttarpradesh,gautambudh_nagar,42
2012,uttarpradesh,gautambudh_nagar,50
2013,uttarpradesh,gautambudh_nagar,136
2001,bihar,gaya,27
2002,bihar,gaya,27
2003,bihar,gaya,40
2004,bihar,gaya,42
2005,bihar,gaya,28
2006,bihar,gaya,0
2007,bihar,gaya,15
2008,bihar,gaya,8
2009,bihar,gaya,12
2010,bihar,gaya,3
2011,bihar,gaya,7
2012,bihar,gaya,0
2013,bihar,gaya,0
2001,uttarpradesh,ghaziabad,54
2002,uttarpradesh,ghaziabad,35
2003,uttarpradesh,ghaziabad,18
2004,uttarpradesh,ghaziabad,31
2005,uttarpradesh,ghaziabad,26
2006,uttarpradesh,ghaziabad,26
2007,uttarpradesh,ghaziabad,30
2008,uttarpradesh,ghaziabad,30
2009,uttarpradesh,ghaziabad,88
2010,uttarpradesh,ghaziabad,77
2011,uttarpradesh,ghaziabad,59
2012,uttarpradesh,ghaziabad,60
2013,uttarpradesh,ghaziabad,233
2001,uttarpradesh,ghazipur,18
2002,uttarpradesh,ghazipur,12
2003,uttarpradesh,ghazipur,3
2004,uttarpradesh,ghazipur,19
2005,uttarpradesh,ghazipur,7
2006,uttarpradesh,ghazipur,8
2007,uttarpradesh,ghazipur,11
2008,uttarpradesh,ghazipur,17
2009,uttarpradesh,ghazipur,12
2010,uttarpradesh,ghazipur,12
2011,uttarpradesh,ghazipur,16
2012,uttarpradesh,ghazipur,16
2013,uttarpradesh,ghazipur,59
2001,jharkhand,giridih,13
2002,jharkhand,giridih,48
2003,jharkhand,giridih,52
2004,jharkhand,giridih,48
2005,jharkhand,giridih,54
2006,jharkhand,giridih,65
2007,jharkhand,giridih,61
2008,jharkhand,giridih,22
2009,jharkhand,giridih,37
2010,jharkhand,giridih,9
2011,jharkhand,giridih,40
2012,jharkhand,giridih,46
2013,jharkhand,giridih,24
2001,assam,goalpara,54
2002,assam,goalpara,67
2003,assam,goalpara,36
2004,assam,goalpara,8
2005,assam,goalpara,2
2006,assam,goalpara,45
2007,assam,goalpara,45
2008,assam,goalpara,32
2009,assam,goalpara,2
2010,assam,goalpara,10
2011,assam,goalpara,2
2012,assam,goalpara,97
2013,assam,goalpara,89
2001,jharkhand,godda,0
2002,jharkhand,godda,0
2003,jharkhand,godda,0
2004,jharkhand,godda,0
2005,jharkhand,godda,28
2006,jharkhand,godda,16
2007,jharkhand,godda,3
2008,jharkhand,godda,16
2009,jharkhand,godda,20
2010,jharkhand,godda,25
2011,jharkhand,godda,21
2012,jharkhand,godda,2
2013,jharkhand,godda,0
2001,assam,golaghat,23
2002,assam,golaghat,36
2003,assam,golaghat,26
2004,assam,golaghat,31
2005,assam,golaghat,27
2006,assam,golaghat,44
2007,assam,golaghat,50
2008,assam,golaghat,46
2009,assam,golaghat,46
2010,assam,golaghat,33
2011,assam,golaghat,66
2012,assam,golaghat,72
2013,assam,golaghat,76
2001,uttarpradesh,gonda,19
2002,uttarpradesh,gonda,20
2003,uttarpradesh,gonda,3
2004,uttarpradesh,gonda,12
2005,uttarpradesh,gonda,14
2006,uttarpradesh,gonda,27
2007,uttarpradesh,gonda,18
2008,uttarpradesh,gonda,39
2009,uttarpradesh,gonda,28
2010,uttarpradesh,gonda,30
2011,uttarpradesh,gonda,29
2012,uttarpradesh,gonda,40
2013,uttarpradesh,gonda,62
2001,maharashtra,gondia,85
2002,maharashtra,gondia,74
2003,maharashtra,gondia,93
2004,maharashtra,gondia,85
2005,maharashtra,gondia,106
2006,maharashtra,gondia,106
2007,maharashtra,gondia,71
2008,maharashtra,gondia,84
2009,maharashtra,gondia,67
2010,maharashtra,gondia,80
2011,maharashtra,gondia,67
2012,maharashtra,gondia,47
2013,maharashtra,gondia,94
2001,bihar,gopalganj,0
2002,bihar,gopalganj,0
2003,bihar,gopalganj,0
2004,bihar,gopalganj,5
2005,bihar,gopalganj,2
2006,bihar,gopalganj,16
2007,bihar,gopalganj,15
2008,bihar,gopalganj,27
2009,bihar,gopalganj,39
2010,bihar,gopalganj,0
2011,bihar,gopalganj,30
2012,bihar,gopalganj,0
2013,bihar,gopalganj,0
2001,uttarpradesh,gorakhpur,25
2002,uttarpradesh,gorakhpur,28
2003,uttarpradesh,gorakhpur,22
2004,uttarpradesh,gorakhpur,26
2005,uttarpradesh,gorakhpur,22
2006,uttarpradesh,gorakhpur,24
2007,uttarpradesh,gorakhpur,22
2008,uttarpradesh,gorakhpur,30
2009,uttarpradesh,gorakhpur,44
2010,uttarpradesh,gorakhpur,69
2011,uttarpradesh,gorakhpur,71
2012,uttarpradesh,gorakhpur,56
2013,uttarpradesh,gorakhpur,111
2001,haryana,grp,1
2002,haryana,grp,1
2003,haryana,grp,0
2004,haryana,grp,3
2005,haryana,grp,2
2006,haryana,grp,6
2007,haryana,grp,6
2008,haryana,grp,7
2009,haryana,grp,2
2010,haryana,grp,8
2011,haryana,grp,2
2011,tripura,grp,0
2012,haryana,grp,9
2012,tripura,grp,0
2013,haryana,grp,18
2013,tripura,grp,0
2001,chhattisgarh,grp_raipur,4
2002,chhattisgarh,grp_raipur,1
2003,chhattisgarh,grp_raipur,1
2004,chhattisgarh,grp_raipur,2
2005,chhattisgarh,grp_raipur,6
2006,chhattisgarh,grp_raipur,3
2007,chhattisgarh,grp_raipur,4
2008,chhattisgarh,grp_raipur,4
2009,chhattisgarh,grp_raipur,1
2010,chhattisgarh,grp_raipur,3
2011,chhattisgarh,grp_raipur,1
2012,chhattisgarh,grp_raipur,5
2013,chhattisgarh,grp_raipur,3
2001,karnataka,gulbarga,143
