Year,STATE/UT,DISTRICT,Dowry_Deaths
2006,uttarpradesh,ambedkar_nagar,15
2007,uttarpradesh,ambedkar_nagar,8
2008,uttarpradesh,ambedkar_nagar,13
2009,uttarpradesh,ambedkar_nagar,15
2010,uttarpradesh,ambedkar_nagar,18
2011,uttarpradesh,ambedkar_nagar,16
2012,uttarpradesh,ambedkar_nagar,9
2013,uttarpradesh,ambedkar_nagar,17
2001,maharashtra,amravati_commr.,10
2002,maharashtra,amravati_commr.,4
2003,maharashtra,amravati_commr.,3
2004,maharashtra,amravati_commr.,1
2005,maharashtra,amravati_commr.,2
2006,maharashtra,amravati_commr.,3
2007,maharashtra,amravati_commr.,3
2008,maharashtra,amravati_commr.,4
2009,maharashtra,amravati_commr.,0
2010,maharashtra,amravati_commr.,3
2011,maharashtra,amravati_commr.,2
2012,maharashtra,amravati_commr.,1
2013,maharashtra,amravati_commr.,2
2001,maharashtra,amravati_rural,4
2002,maharashtra,amravati_rural,5
2003,maharashtra,amravati_rural,8
2004,maharashtra,amravati_rural,9
2005,maharashtra,amravati_rural,10
2006,maharashtra,amravati_rural,4
2007,maharashtra,amravati_rural,11
2008,maharashtra,amravati_rural,3
2009,maharashtra,amravati_rural,1
2010,maharashtra,amravati_rural,2
2011,maharashtra,amravati_rural,3
2012,maharashtra,amravati_rural,3
2013,maharashtra,amravati_rural,1
2001,gujarat,amreli,2
2002,gujarat,amreli,0
2003,gujarat,amreli,0
2004,gujarat,amreli,1
2005,gujarat,amreli,2
2006,gujarat,amreli,3
2007,gujarat,amreli,0
2008,gujarat,amreli,0
2009,gujarat,amreli,1
2010,gujarat,amreli,0
2011,gujarat,amreli,0
2012,gujarat,amreli,0
2013,gujarat,amreli,0
2001,gujarat,anand,0
2002,gujarat,anand,0
2003,gujarat,anand,0
2004,gujarat,anand,0
2005,gujarat,anand,1
2006,gujarat,anand,0
2007,gujarat,anand,0
2008,gujarat,anand,0
2009,gujarat,anand,0
2010,gujarat,anand,0
2011,gujarat,anand,0
2012,gujarat,anand,0
2013,gujarat,anand,1
2001,andhrapradesh,anantapur,7
2002,andhrapradesh,anantapur,9
2003,andhrapradesh,anantapur,4
2004,andhrapradesh,anantapur,11
2005,andhrapradesh,anantapur,12
2006,andhrapradesh,anantapur,16
2007,andhrapradesh,anantapur,14
2008,andhrapradesh,anantapur,12
2009,andhrapradesh,anantapur,14
2010,andhrapradesh,anantapur,20
2011,andhrapradesh,anantapur,36
2012,andhrapradesh,anantapur,19
2013,andhrapradesh,anantapur,23
2001,jammu&kashmir,anantnag,0
2002,jammu&kashmir,anantnag,0
2003,jammu&kashmir,anantnag,0
2004,jammu&kashmir,anantnag,0
2005,jammu&kashmir,anantnag,0
2006,jammu&kashmir,anantnag,0
2007,jammu&kashmir,anantnag,0
2008,jammu&kashmir,anantnag,0
2009,jammu&kashmir,anantnag,0
2010,jammu&kashmir,anantnag,0
2011,jammu&kashmir,anantnag,0
2012,jammu&kashmir,anantnag,0
2013,jammu&kashmir,anantnag,0
2001,odisha,angul,8
2002,odisha,angul,8
2003,odisha,angul,18
2004,odisha,angul,13
2005,odisha,angul,5
2006,odisha,angul,12
2007,odisha,angul,16
2008,odisha,angul,16
2009,odisha,angul,10
2010,odisha,angul,13
2011,odisha,angul,25
2012,odisha,angul,20
2013,odisha,angul,0
2001,bihar,araria,11
2002,bihar,araria,5
2003,bihar,araria,13
2004,bihar,araria,11
2005,bihar,araria,9
2006,bihar,araria,19
2007,bihar,araria,11
2008,bihar,araria,3
2009,bihar,araria,21
2010,bihar,araria,26
2011,bihar,araria,26
2012,bihar,araria,21
2013,bihar,araria,12
2001,bihar,arwal,7
2002,bihar,arwal,8
2003,bihar,arwal,19
2004,bihar,arwal,16
2005,bihar,arwal,11
2006,bihar,arwal,9
2007,bihar,arwal,12
2008,bihar,arwal,13
2009,bihar,arwal,10
2010,bihar,arwal,15
2011,bihar,arwal,24
2012,bihar,arwal,13
2013,bihar,arwal,15
2001,westbengal,asansol,1
2002,westbengal,asansol,2
2003,westbengal,asansol,4
2004,westbengal,asansol,7
2005,westbengal,asansol,4
2006,westbengal,asansol,13
2007,westbengal,asansol,11
2008,westbengal,asansol,9
2009,westbengal,asansol,17
2010,westbengal,asansol,19
2011,westbengal,asansol,10
2012,westbengal,asansol,15
2013,westbengal,asansol,15
2001,uttarpradesh,auraiya,21
2002,uttarpradesh,auraiya,29
2003,uttarpradesh,auraiya,16
2004,uttarpradesh,auraiya,20
2005,uttarpradesh,auraiya,22
2006,uttarpradesh,auraiya,22
2007,uttarpradesh,auraiya,34
2008,uttarpradesh,auraiya,12
2009,uttarpradesh,auraiya,26
2010,uttarpradesh,auraiya,17
2011,uttarpradesh,auraiya,25
2012,uttarpradesh,auraiya,18
2013,uttarpradesh,auraiya,28
2001,bihar,aurangabad,33
2002,bihar,aurangabad,33
2003,bihar,aurangabad,25
2004,bihar,aurangabad,40
2005,bihar,aurangabad,29
2006,bihar,aurangabad,23
2007,bihar,aurangabad,36
2008,bihar,aurangabad,32
2009,bihar,aurangabad,37
2010,bihar,aurangabad,24
2011,bihar,aurangabad,30
2012,bihar,aurangabad,27
2013,bihar,aurangabad,28
2001,maharashtra,aurangabad_commr.,4
2002,maharashtra,aurangabad_commr.,7
2003,maharashtra,aurangabad_commr.,4
2004,maharashtra,aurangabad_commr.,5
2005,maharashtra,aurangabad_commr.,2
2006,maharashtra,aurangabad_commr.,3
2007,maharashtra,aurangabad_commr.,11
2008,maharashtra,aurangabad_commr.,4
2009,maharashtra,aurangabad_commr.,5
2010,maharashtra,aurangabad_commr.,10
2011,maharashtra,aurangabad_commr.,7
2012,maharashtra,aurangabad_commr.,4
2013,maharashtra,aurangabad_commr.,5
2001,maharashtra,aurangabad_rural,6
2002,maharashtra,aurangabad_rural,24
2003,maharashtra,aurangabad_rural,32
2004,maharashtra,aurangabad_rural,20
2005,maharashtra,aurangabad_rural,26
2006,maharashtra,aurangabad_rural,39
2007,maharashtra,aurangabad_rural,39
2008,maharashtra,aurangabad_rural,39
2009,maharashtra,aurangabad_rural,28
2010,maharashtra,aurangabad_rural,21
2011,maharashtra,aurangabad_rural,36
2012,maharashtra,aurangabad_rural,18
2013,maharashtra,aurangabad_rural,14
2001,jammu&kashmir,awantipora,0
2002,jammu&kashmir,awantipora,0
2003,jammu&kashmir,awantipora,0
2004,jammu&kashmir,awantipora,0
2005,jammu&kashmir,awantipora,0
2006,jammu&kashmir,awantipora,0
2007,jammu&kashmir,awantipora,0
2008,jammu&kashmir,awantipora,0
2009,jammu&kashmir,awantipora,0
2010,jammu&kashmir,awantipora,0
2011,jammu&kashmir,awantipora,0
2012,jammu&kashmir,awantipora,0
2013,jammu&kashmir,awantipora,0
2001,uttarpradesh,azamgarh,32
2002,uttarpradesh,azamgarh,23
2003,uttarpradesh,azamgarh,16
2004,uttarpradesh,azamgarh,27
2005,uttarpradesh,azamgarh,27
2006,uttarpradesh,azamgarh,29
2007,uttarpradesh,azamgarh,29
2008,uttarpradesh,azamgarh,35
2009,uttarpradesh,azamgarh,31
2010,uttarpradesh,azamgarh,23
2011,uttarpradesh,azamgarh,27
2012,uttarpradesh,azamgarh,25
2013,uttarpradesh,azamgarh,36
2001,uttarpradesh,badaun,62
2002,uttarpradesh,badaun,44
2003,uttarpradesh,badaun,28
2004,uttarpradesh,badaun,50
2005,uttarpradesh,badaun,32
2006,uttarpradesh,badaun,33
2007,uttarpradesh,badaun,31
2008,uttarpradesh,badaun,32
2009,uttarpradesh,badaun,43
2010,uttarpradesh,badaun,48
2011,uttarpradesh,badaun,48
2012,uttarpradesh,badaun,47
2013,uttarpradesh,badaun,58
2001,bihar,bagaha,0
2002,bihar,bagaha,0
2003,bihar,bagaha,4
2004,bihar,bagaha,5
2005,bihar,bagaha,3
2006,bihar,bagaha,5
2007,bihar,bagaha,6
2008,bihar,bagaha,11
2009,bihar,bagaha,14
2010,bihar,bagaha,10
2011,bihar,bagaha,13
2012,bihar,bagaha,9
2013,bihar,bagaha,14
2001,karnataka,bagalkot,1
2002,karnataka,bagalkot,2
2003,karnataka,bagalkot,2
2004,karnataka,bagalkot,2
2005,karnataka,bagalkot,1
2006,karnataka,bagalkot,3
2007,karnataka,bagalkot,2
2008,karnataka,bagalkot,6
2009,karnataka,bagalkot,7
2010,karnataka,bagalkot,5
2011,karnataka,bagalkot,0
2012,karnataka,bagalkot,6
2013,karnataka,bagalkot,3
2001,uttarakhand,bageshwar,8
2002,uttarakhand,bageshwar,2
2003,uttarakhand,bageshwar,2
2004,uttarakhand,bageshwar,4
2005,uttarakhand,bageshwar,1
2006,uttarakhand,bageshwar,4
2007,uttarakhand,bageshwar,2
2008,uttarakhand,bageshwar,2
2009,uttarakhand,bageshwar,2
2010,uttarakhand,bageshwar,2
2011,uttarakhand,bageshwar,2
2012,uttarakhand,bageshwar,4
2013,uttarakhand,bageshwar,1
2001,uttarpradesh,baghpat,20
2002,uttarpradesh,baghpat,17
2003,uttarpradesh,baghpat,10
2004,uttarpradesh,baghpat,16
2005,uttarpradesh,baghpat,10
2006,uttarpradesh,baghpat,12
2007,uttarpradesh,baghpat,22
2008,uttarpradesh,baghpat,15
2009,uttarpradesh,baghpat,16
2010,uttarpradesh,baghpat,14
2011,uttarpradesh,baghpat,17
2012,uttarpradesh,baghpat,19
2013,uttarpradesh,baghpat,12
2001,uttarpradesh,bahraich,19
2002,uttarpradesh,bahraich,16
2003,uttarpradesh,bahraich,7
2004,uttarpradesh,bahraich,16
2005,uttarpradesh,bahraich,21
2006,uttarpradesh,bahraich,24
2007,uttarpradesh,bahraich,28
2008,uttarpradesh,bahraich,27
2009,uttarpradesh,bahraich,32
2010,uttarpradesh,bahraich,42
2011,uttarpradesh,bahraich,62
2012,uttarpradesh,bahraich,38
2013,uttarpradesh,bahraich,42
2001,madhyapradesh,balaghat,3
2002,madhyapradesh,balaghat,5
2003,madhyapradesh,balaghat,10
2004,madhyapradesh,balaghat,13
2005,madhyapradesh,balaghat,4
2006,madhyapradesh,balaghat,6
2007,madhyapradesh,balaghat,7
2008,madhyapradesh,balaghat,8
2009,madhyapradesh,balaghat,7
2010,madhyapradesh,balaghat,4
2011,madhyapradesh,balaghat,3
2012,madhyapradesh,balaghat,6
2013,madhyapradesh,balaghat,6
2001,odisha,balasore,36
2002,odisha,balasore,28
2003,odisha,balasore,30
2004,odisha,balasore,41
2005,odisha,balasore,32
2006,odisha,balasore,46
2007,odisha,balasore,35
2008,odisha,balasore,27
2009,odisha,balasore,46
2010,odisha,balasore,40
2011,odisha,balasore,45
2012,odisha,balasore,43
2013,odisha,balasore,49
2001,uttarpradesh,ballia,19
2002,uttarpradesh,ballia,16
2003,uttarpradesh,ballia,8
2004,uttarpradesh,ballia,11
2005,uttarpradesh,ballia,12
2006,uttarpradesh,ballia,11
2007,uttarpradesh,ballia,13
2008,uttarpradesh,ballia,20
2009,uttarpradesh,ballia,31
2010,uttarpradesh,ballia,30
2011,uttarpradesh,ballia,17
2012,uttarpradesh,ballia,28
2013,uttarpradesh,ballia,24
2001,chhattisgarh,balrampur,1
2001,uttarpradesh,balrampur,12
2002,chhattisgarh,balrampur,2
2002,uttarpradesh,balrampur,5
2003,chhattisgarh,balrampur,3
2003,uttarpradesh,balrampur,3
2004,chhattisgarh,balrampur,0
2004,uttarpradesh,balrampur,3
2005,chhattisgarh,balrampur,0
2005,uttarpradesh,balrampur,4
2006,chhattisgarh,balrampur,0
2006,uttarpradesh,balrampur,9
2007,chhattisgarh,balrampur,1
2007,uttarpradesh,balrampur,10
2008,chhattisgarh,balrampur,3
2008,uttarpradesh,balrampur,5
2009,chhattisgarh,balrampur,2
2009,uttarpradesh,balrampur,10
2010,chhattisgarh,balrampur,1
2010,uttarpradesh,balrampur,5
2011,chhattisgarh,balrampur,3
2011,uttarpradesh,balrampur,16
2012,chhattisgarh,balrampur,0
2012,uttarpradesh,balrampur,5
2013,chhattisgarh,balrampur,8
2013,uttarpradesh,balrampur,7
2001,uttarpradesh,banda,21
2002,uttarpradesh,banda,21
2003,uttarpradesh,banda,13
2004,uttarpradesh,banda,27
2005,uttarpradesh,banda,22
2006,uttarpradesh,banda,17
2007,uttarpradesh,banda,16
2008,uttarpradesh,banda,36
2009,uttarpradesh,banda,24
2010,uttarpradesh,banda,20
2011,uttarpradesh,banda,29
2012,uttarpradesh,banda,36
2013,uttarpradesh,banda,32
2001,karnataka,bangalore_commr.,40
2002,karnataka,bangalore_commr.,33
2003,karnataka,bangalore_commr.,34
2004,karnataka,bangalore_commr.,44
2005,karnataka,bangalore_commr.,39
2006,karnataka,bangalore_commr.,50
2007,karnataka,bangalore_commr.,54
2008,karnataka,bangalore_commr.,52
2009,karnataka,bangalore_commr.,50
2010,karnataka,bangalore_commr.,52
2011,karnataka,bangalore_commr.,53
2012,karnataka,bangalore_commr.,51
2013,karnataka,bangalore_commr.,52
2001,karnataka,bangalore_rural,30
2002,karnataka,bangalore_rural,35
2003,karnataka,bangalore_rural,31
2004,karnataka,bangalore_rural,31
2005,karnataka,bangalore_rural,46
2006,karnataka,bangalore_rural,26
2007,karnataka,bangalore_rural,32
2008,karnataka,bangalore_rural,11
2009,karnataka,bangalore_rural,14
2010,karnataka,bangalore_rural,8
2011,karnataka,bangalore_rural,10
2012,karnataka,bangalore_rural,10
2013,karnataka,bangalore_rural,22
2001,bihar,banka,9
2002,bihar,banka,10
2003,bihar,banka,19
2004,bihar,banka,25
2005,bihar,banka,13
2006,bihar,banka,21
2007,bihar,banka,24
2008,bihar,banka,23
2009,bihar,banka,19
2010,bihar,banka,24
2011,bihar,banka,31
2012,bihar,banka,17
2013,bihar,banka,28
2001,westbengal,bankura,22
2002,westbengal,bankura,20
2003,westbengal,bankura,20
2004,westbengal,bankura,22
2005,westbengal,bankura,22
2006,westbengal,bankura,24
2007,westbengal,bankura,24
2008,westbengal,bankura,20
2009,westbengal,bankura,28
2010,westbengal,bankura,18
2011,westbengal,bankura,16
2012,westbengal,bankura,26
2013,westbengal,bankura,19
2001,rajasthan,banswara,10
2002,rajasthan,banswara,10
2003,rajasthan,banswara,3
2004,rajasthan,banswara,7
2005,rajasthan,banswara,7
2006,rajasthan,banswara,5
2007,rajasthan,banswara,4
2008,rajasthan,banswara,8
2009,rajasthan,banswara,3
2010,rajasthan,banswara,8
2011,rajasthan,banswara,6
2012,rajasthan,banswara,4
2013,rajasthan,banswara,13
2001,uttarpradesh,barabanki,35
2002,uttarpradesh,barabanki,27
2003,uttarpradesh,barabanki,16
2004,uttarpradesh,barabanki,25
2005,uttarpradesh,barabanki,21
2006,uttarpradesh,barabanki,25
2007,uttarpradesh,barabanki,35
2008,uttarpradesh,barabanki,47
2009,uttarpradesh,barabanki,39
2010,uttarpradesh,barabanki,20
2011,uttarpradesh,barabanki,25
2012,uttarpradesh,barabanki,31
2013,uttarpradesh,barabanki,26
2001,odisha,baragarh,0
2002,odisha,baragarh,3
2003,odisha,baragarh,10
2004,odisha,baragarh,8
2005,odisha,baragarh,9
2006,odisha,baragarh,17
2007,odisha,baragarh,10
2008,odisha,baragarh,9
2009,odisha,baragarh,7
2010,odisha,baragarh,9
2011,odisha,baragarh,16
2012,odisha,baragarh,3
2013,odisha,baragarh,4
2001,jammu&kashmir,baramulla,0
2002,jammu&kashmir,baramulla,0
2003,jammu&kashmir,baramulla,0
2004,jammu&kashmir,baramulla,1
2005,jammu&kashmir,baramulla,0
2006,jammu&kashmir,baramulla,0
2007,jammu&kashmir,baramulla,0
2008,jammu&kashmir,baramulla,0
2009,jammu&kashmir,baramulla,0
2010,jammu&kashmir,baramulla,0
2011,jammu&kashmir,baramulla,0
2012,jammu&kashmir,baramulla,0
2013,jammu&kashmir,baramulla,0
2001,rajasthan,baran,3
2002,rajasthan,baran,6
2003,rajasthan,baran,3
2004,rajasthan,baran,3
2005,rajasthan,baran,3
2006,rajasthan,baran,5
2007,rajasthan,baran,8
2008,rajasthan,baran,10
2009,rajasthan,baran,9
2010,rajasthan,baran,9
2011,rajasthan,baran,10
2012,rajasthan,baran,7
2013,rajasthan,baran,1
2001,uttarpradesh,bareilly,57
2002,uttarpradesh,bareilly,62
2003,uttarpradesh,bareilly,37
2004,uttarpradesh,bareilly,44
2005,uttarpradesh,bareilly,37
2006,uttarpradesh,bareilly,31
2007,uttarpradesh,bareilly,54
2008,uttarpradesh,bareilly,47
2009,uttarpradesh,bareilly,47
2010,uttarpradesh,bareilly,55
2011,uttarpradesh,bareilly,63
2012,uttarpradesh,bareilly,61
2013,uttarpradesh,bareilly,58
2001,rajasthan,barmer,13
2002,rajasthan,barmer,8
2003,rajasthan,barmer,17
2004,rajasthan,barmer,9
2005,rajasthan,barmer,13
2006,rajasthan,barmer,7
2007,rajasthan,barmer,9
2008,rajasthan,barmer,14
2009,rajasthan,barmer,14
2010,rajasthan,barmer,18
2011,rajasthan,barmer,27
2012,rajasthan,barmer,20
2013,rajasthan,barmer,21
2001,punjab,barnala,6
2002,punjab,barnala,3
2003,punjab,barnala,2
2004,punjab,barnala,0
2005,punjab,barnala,3
2006,punjab,barnala,1
2007,punjab,barnala,5
2008,punjab,barnala,1
2009,punjab,barnala,1
2010,punjab,barnala,1
2011,punjab,barnala,3
2012,punjab,barnala,2
2013,punjab,barnala,2
2001,assam,barpeta,10
2002,assam,barpeta,4
2003,assam,barpeta,6
2004,assam,barpeta,8
2005,assam,barpeta,8
2006,assam,barpeta,4
2007,assam,barpeta,10
2008,assam,barpeta,14
2009,assam,barpeta,29
2010,assam,barpeta,12
2011,assam,barpeta,5
2012,assam,barpeta,5
2013,assam,barpeta,18
2001,madhyapradesh,barwani,5
2002,madhyapradesh,barwani,3
2003,madhyapradesh,barwani,4
2004,madhyapradesh,barwani,4
2005,madhyapradesh,barwani,2
2006,madhyapradesh,barwani,4
2007,madhyapradesh,barwani,4
2008,madhyapradesh,barwani,1
2009,madhyapradesh,barwani,3
2010,madhyapradesh,barwani,6
2011,madhyapradesh,barwani,2
2012,madhyapradesh,barwani,2
2013,madhyapradesh,barwani,7
2001,uttarpradesh,basti,22
2002,uttarpradesh,basti,24
2003,uttarpradesh,basti,14
2004,uttarpradesh,basti,17
2005,uttarpradesh,basti,7
2006,uttarpradesh,basti,12
2007,uttarpradesh,basti,13
2008,uttarpradesh,basti,15
2009,uttarpradesh,basti,15
2010,uttarpradesh,basti,14
2011,uttarpradesh,basti,11
2012,uttarpradesh,basti,21
2013,uttarpradesh,basti,11
2001,punjab,batala,6
2002,punjab,batala,7
2003,punjab,batala,6
2004,punjab,batala,2
2005,punjab,batala,7
2006,punjab,batala,5
2007,punjab,batala,2
2008,punjab,batala,6
2009,punjab,batala,4
2010,punjab,batala,4
2011,punjab,batala,4
2012,punjab,batala,4
2013,punjab,batala,1
2001,maharashtra,beed,2
2002,maharashtra,beed,2
2003,maharashtra,beed,10
2004,maharashtra,beed,4
2005,maharashtra,beed,7
2006,maharashtra,beed,12
2007,maharashtra,beed,18
2008,maharashtra,beed,11
2009,maharashtra,beed,16
2010,maharashtra,beed,11
2011,maharashtra,beed,11
2012,maharashtra,beed,8
2013,maharashtra,beed,5
2001,bihar,begusarai,21
2002,bihar,begusarai,23
2003,bihar,begusarai,29
2004,bihar,begusarai,15
2005,bihar,begusarai,25
2006,bihar,begusarai,36
2007,bihar,begusarai,43
2008,bihar,begusarai,41
2009,bihar,begusarai,46
2010,bihar,begusarai,42
2011,bihar,begusarai,39
2012,bihar,begusarai,27
2013,bihar,begusarai,28
2001,karnataka,belgaum,4
2002,karnataka,belgaum,7
2003,karnataka,belgaum,12
2004,karnataka,belgaum,6
2005,karnataka,belgaum,10
2006,karnataka,belgaum,13
2007,karnataka,belgaum,10
2008,karnataka,belgaum,9
2009,karnataka,belgaum,10
2010,karnataka,belgaum,10
2011,karnataka,belgaum,11
2012,karnataka,belgaum,5
2013,karnataka,belgaum,7
2001,karnataka,bellary,5
2002,karnataka,bellary,8
2003,karnataka,bellary,2
2004,karnataka,bellary,5
2005,karnataka,bellary,5
2006,karnataka,bellary,13
2007,karnataka,bellary,7
2008,karnataka,bellary,10
2009,karnataka,bellary,7
2010,karnataka,bellary,13
2011,karnataka,bellary,15
2012,karnataka,bellary,9
2013,karnataka,bellary,5
2001,odisha,berhampur,4
2002,odisha,berhampur,7
2003,odisha,berhampur,4
2004,odisha,berhampur,6
2005,odisha,berhampur,1
2006,odisha,berhampur,9
2007,odisha,berhampur,9
