Year,STATE/UT,DISTRICT,Insult_to_modesty_of_Women
2012,westbengal,dakshin_dinajpur,3
2013,westbengal,dakshin_dinajpur,0
2001,karnataka,dakshin_kannada,0
2002,karnataka,dakshin_kannada,5
2003,karnataka,dakshin_kannada,4
2004,karnataka,dakshin_kannada,4
2005,karnataka,dakshin_kannada,1
2006,karnataka,dakshin_kannada,6
2007,karnataka,dakshin_kannada,3
2008,karnataka,dakshin_kannada,4
2009,karnataka,dakshin_kannada,2
2010,karnataka,dakshin_kannada,2
2011,karnataka,dakshin_kannada,0
2012,karnataka,dakshin_kannada,8
2013,karnataka,dakshin_kannada,2
2001,daman&diu,daman,0
2002,daman&diu,daman,0
2003,daman&diu,daman,0
2004,daman&diu,daman,0
2005,daman&diu,daman,0
2006,daman&diu,daman,0
2007,daman&diu,daman,0
2008,daman&diu,daman,0
2009,daman&diu,daman,1
2010,daman&diu,daman,0
2011,daman&diu,daman,0
2012,daman&diu,daman,0
2013,daman&diu,daman,0
2001,madhyapradesh,damoh,0
2002,madhyapradesh,damoh,0
2003,madhyapradesh,damoh,0
2004,madhyapradesh,damoh,0
2005,madhyapradesh,damoh,0
2006,madhyapradesh,damoh,0
2007,madhyapradesh,damoh,0
2008,madhyapradesh,damoh,0
2009,madhyapradesh,damoh,0
2010,madhyapradesh,damoh,0
2011,madhyapradesh,damoh,0
2012,madhyapradesh,damoh,0
2013,madhyapradesh,damoh,0
2001,chhattisgarh,dantewara,1
2002,chhattisgarh,dantewara,0
2003,chhattisgarh,dantewara,0
